"Appendix 3. Upper 25% quantile of Evolutionary Distinctiveness across 9,755 lepidosaur species and respective threat status according to the IUCN Red List.",,,,
,,,,
Infraorder,species,status,x,
Gekkota,Asaccus_kurdistanensis,LC,20.42570438,
Gekkota,Asaccus_montanus,VU,35.72634378,
Gekkota,Asaccus_nasrullahi,LC,29.55247795,
Gekkota,Asaccus_platyrhynchus,LC,24.34927309,
Gekkota,Asaccus_saffinae,UA,18.79243757,
Gekkota,Asaccus_tangestanensis,UA,20.88374258,
Gekkota,Asaccus_zagrosicus,UA,21.08011737,
Gekkota,Bavayia_montana,DD,16.87419389,
Gekkota,Bavayia_nubila,UA,17.84291688,
Gekkota,Bavayia_ornata,EN,20.44183179,
Gekkota,Bavayia_septuiclavis,NT,20.44183179,
Gekkota,Blaesodactylus_ambonihazo,DD,18.95652204,
Gekkota,Blaesodactylus_antongilensis,LC,18.95652204,
Gekkota,Blaesodactylus_boivini,VU,31.48518269,
Gekkota,Blaesodactylus_sakalava,LC,24.05972703,
Gekkota,Bunopus_tuberculatus,LC,19.92769483,
Gekkota,Calodactylodes_aureus,LC,42.95642239,
Gekkota,Calodactylodes_illingworthorum,UA,42.95642239,
Gekkota,Carphodactylus_laevis,UA,40.65306963,
Gekkota,Chatogekko_amazonicus,UA,80.19468838,
Gekkota,Chondrodactylus_angulifer,LC,37.19789691,
Gekkota,Chondrodactylus_bibronii,UA,29.3940007,
Gekkota,Chondrodactylus_fitzsimonsi,UA,22.78500778,
Gekkota,Chondrodactylus_turneri,UA,22.78500778,
Gekkota,Christinus_alexanderi,UA,21.72376659,
Gekkota,Christinus_guentheri,VU,23.54674837,
Gekkota,Christinus_marmoratus,UA,21.72376659,
Gekkota,Cnemaspis_africana,LC,17.96623407,
Gekkota,Cnemaspis_alantika,UA,20.16461106,
Gekkota,Cnemaspis_alwisi,UA,16.33826346,
Gekkota,Cnemaspis_amith,UA,18.13224042,
Gekkota,Cnemaspis_anaikattiensis,CR,17.71169981,
Gekkota,Cnemaspis_andersonii,UA,18.79913143,
Gekkota,Cnemaspis_australis,DD,19.7452245,
Gekkota,Cnemaspis_barbouri,UA,21.24461911,
Gekkota,Cnemaspis_beddomei,DD,16.48161214,
Gekkota,Cnemaspis_boiei,UA,20.51727696,
Gekkota,Cnemaspis_boulengerii,UA,31.86126915,
Gekkota,Cnemaspis_clivicola,UA,18.6814318,
Gekkota,Cnemaspis_dickersonae,UA,26.17904408,
Gekkota,Cnemaspis_dilepis,UA,21.92402704,
Gekkota,Cnemaspis_elgonensis,VU,21.46987983,
Gekkota,Cnemaspis_gemunu,UA,17.84037979,
Gekkota,Cnemaspis_gigas,DD,23.42236152,
Gekkota,Cnemaspis_girii,UA,20.05011963,
Gekkota,Cnemaspis_goaensis,EN,18.02833216,
Gekkota,Cnemaspis_gracilis,LC,18.44403919,
Gekkota,Cnemaspis_heteropholis,NT,18.32639103,
Gekkota,Cnemaspis_huaseesom,UA,19.17283288,
Gekkota,Cnemaspis_indica,VU,17.99809074,
Gekkota,Cnemaspis_indraneildasii,VU,18.24659868,
Gekkota,Cnemaspis_jerdonii,VU,19.73054857,
Gekkota,Cnemaspis_kallima,UA,19.0651377,
Gekkota,Cnemaspis_koehleri,LC,22.77007468,
Gekkota,Cnemaspis_kolhapurensis,DD,20.73896684,
Gekkota,Cnemaspis_kottiyoorensis,UA,18.1400471,
Gekkota,Cnemaspis_kumarasinghei,UA,18.28581679,
Gekkota,Cnemaspis_latha,UA,19.45225055,
Gekkota,Cnemaspis_limi,LC,20.52972412,
Gekkota,Cnemaspis_littoralis,DD,19.22719621,
Gekkota,Cnemaspis_menikay,UA,19.56186013,
Gekkota,Cnemaspis_molligodai,UA,19.68837034,
Gekkota,Cnemaspis_monachorum,UA,22.10447514,
Gekkota,Cnemaspis_monticola,DD,19.52408083,
Gekkota,Cnemaspis_mysoriensis,LC,17.16372439,
Gekkota,Cnemaspis_nairi,NT,17.94519999,
Gekkota,Cnemaspis_nilagirica,DD,18.18857089,
Gekkota,Cnemaspis_occidentalis,EN,19.602128,
Gekkota,Cnemaspis_ornata,NT,18.72440793,
Gekkota,Cnemaspis_otai,VU,19.67349373,
Gekkota,Cnemaspis_paripari,UA,20.31495992,
Gekkota,Cnemaspis_pava,UA,16.27663276,
Gekkota,Cnemaspis_petrodroma,DD,20.76420885,
Gekkota,Cnemaspis_phillipsi,UA,18.14917074,
Gekkota,Cnemaspis_podihuna,LC,15.94271049,
Gekkota,Cnemaspis_pseudomcguirei,UA,16.51510612,
Gekkota,Cnemaspis_psychedelica,UA,31.43896433,
Gekkota,Cnemaspis_puLChra,UA,18.39842694,
Gekkota,Cnemaspis_punctata,UA,19.04659388,
Gekkota,Cnemaspis_quattuorseriata,UA,18.25423763,
Gekkota,Cnemaspis_rammalensis,UA,18.59994183,
Gekkota,Cnemaspis_retigalensis,UA,17.88520255,
Gekkota,Cnemaspis_samanalensis,UA,22.48090949,
Gekkota,Cnemaspis_siamensis,UA,19.37947358,
Gekkota,Cnemaspis_silvula,UA,17.42988126,
Gekkota,Cnemaspis_sisparensis,NT,17.31161738,
Gekkota,Cnemaspis_spinicollis,UA,22.28015843,
Gekkota,Cnemaspis_upendrai,UA,19.35706121,
Gekkota,Cnemaspis_uzungwae,UA,21.4847555,
Gekkota,Cnemaspis_wicksi,UA,17.84842163,
Gekkota,Cnemaspis_wynadensis,EN,18.32149849,
Gekkota,Cnemaspis_yercaudensis,LC,19.6724523,
Gekkota,Coleodactylus_brachystoma,UA,50.42683661,
Gekkota,Coleodactylus_elizae,UA,33.27126862,
Gekkota,Coleodactylus_meridionalis,UA,39.30509786,
Gekkota,Coleodactylus_natalensis,DD,40.21124526,
Gekkota,Coleodactylus_septentrionalis,LC,54.43451418,
Gekkota,Coleonyx_brevis,LC,34.25237791,
Gekkota,Coleonyx_elegans,LC,35.76424389,
Gekkota,Coleonyx_fasciatus,LC,32.02722146,
Gekkota,Coleonyx_gypsicolus,LC,30.26521947,
Gekkota,Coleonyx_mitratus,LC,36.46348068,
Gekkota,Coleonyx_reticulatus,LC,33.10385735,
Gekkota,Coleonyx_switaki,LC,30.42828632,
Gekkota,Coleonyx_variegatus,LC,33.92230541,
Gekkota,Colopus_kochii,UA,35.38442928,
Gekkota,Colopus_wahlbergii,UA,36.23034667,
Gekkota,Correlophus_ciliatus,VU,16.3924522,
Gekkota,Correlophus_sarasinorum,VU,15.73240187,
Gekkota,Crenadactylus_ocellatus,UA,60.57915301,
Gekkota,Cryptactites_peringueyi,DD,31.3429487,
Gekkota,Cyrtodactylus_angularis,UA,16.5897878,
Gekkota,Cyrtodactylus_brevidactylus,DD,16.24147076,
Gekkota,Cyrtodactylus_chanhomeae,UA,17.92899105,
Gekkota,Cyrtodactylus_elok,UA,18.02684012,
Gekkota,Cyrtodactylus_fasciolatum,UA,17.68663868,
Gekkota,Cyrtodactylus_gansi,UA,16.89409163,
Gekkota,Cyrtodactylus_gubernatoris,NT,21.48104284,
Gekkota,Cyrtodactylus_hontreensis,UA,19.89914965,
Gekkota,Cyrtodactylus_interdigitalis,UA,18.12945015,
Gekkota,Cyrtodactylus_intermedius,UA,15.77178515,
Gekkota,Cyrtodactylus_jarujini,UA,16.0841997,
Gekkota,Cyrtodactylus_nigriocularis,UA,19.86017825,
Gekkota,Cyrtodactylus_pageli,UA,18.70149657,
Gekkota,Cyrtodactylus_paradoxus,UA,16.26286708,
Gekkota,Cyrtodactylus_rubidus,UA,16.07468745,
Gekkota,Cyrtodactylus_tibetanus,UA,44.09023281,
Gekkota,Cyrtodactylus_triedrus,NT,27.54974821,
Gekkota,Cyrtodactylus_wayakonei,UA,17.44492514,
Gekkota,Cyrtopodion_aravallensis,UA,15.74520957,
Gekkota,Cyrtopodion_battalense,UA,23.65945362,
Gekkota,Cyrtopodion_himalayanum,UA,21.85186038,
Gekkota,Cyrtopodion_lawderanum,UA,21.85186038,
Gekkota,Dactylocnemis_pacificus,UA,18.08783714,
Gekkota,Delma_concinna,UA,18.53457972,
Gekkota,Delma_labialis,VU,18.64673035,
Gekkota,Dierogekko_poumensis,CR,19.20881937,
Gekkota,Diplodactylus_conspicillatus,UA,19.41121588,
Gekkota,Diplodactylus_fulleri,UA,22.47869177,
Gekkota,Diplodactylus_galaxias,UA,15.73508708,
Gekkota,Diplodactylus_galeatus,UA,21.43503718,
Gekkota,Diplodactylus_klugei,UA,20.80263741,
Gekkota,Diplodactylus_lateroides,UA,15.96148432,
Gekkota,Diplodactylus_ornatus,LC,19.28691829,
Gekkota,Diplodactylus_polyophthalmus,UA,19.5044593,
Gekkota,Diplodactylus_puLCher,UA,19.19584259,
Gekkota,Diplodactylus_savagei,UA,15.77638704,
Gekkota,Diplodactylus_tessellatus,UA,24.25989077,
Gekkota,Diplodactylus_vittatus,UA,21.02619503,
Gekkota,Dixonius_aaronbaueri,UA,22.14520798,
Gekkota,Dixonius_hangseesom,UA,17.24838525,
Gekkota,Dixonius_melanostictus,DD,20.99957747,
Gekkota,Dixonius_siamensis,UA,18.32455802,
Gekkota,Dixonius_vietnamensis,LC,17.80417509,
Gekkota,Ebenavia_inunguis,LC,39.82554152,
Gekkota,Ebenavia_maintimainty,EN,39.82554152,
Gekkota,Elasmodactylus_tetensis,LC,51.85622187,
Gekkota,Elasmodactylus_tuberculosus,LC,50.3484894,
Gekkota,Eublepharis_angramainyu,DD,29.90634803,
Gekkota,Eublepharis_fuscus,LC,30.0158371,
Gekkota,Eublepharis_hardwickii,LC,31.02346204,
Gekkota,Eublepharis_macularius,UA,22.14114953,
Gekkota,Eublepharis_turcmenicus,LC,22.1885709,
Gekkota,Euleptes_europaea,NT,74.02109199,
Gekkota,Garthia_gaudichaudii,UA,43.6697634,
Gekkota,Garthia_penai,UA,43.6697634,
Gekkota,Geckolepis_maculata,LC,31.88922916,
Gekkota,Geckolepis_polylepis,DD,34.57545582,
Gekkota,Geckolepis_typica,LC,31.88922916,
Gekkota,Gehyra_angusticaudata,UA,17.09293701,
Gekkota,Gehyra_australis,LC,15.88493833,
Gekkota,Gehyra_baliola,UA,16.32672756,
Gekkota,Gehyra_barea,EN,16.32672756,
Gekkota,Gehyra_borroloola,LC,15.63364935,
Gekkota,Gehyra_brevipalmata,LC,23.51187921,
Gekkota,Gehyra_butleri,DD,17.87407807,
Gekkota,Gehyra_catenata,UA,17.28236296,
Gekkota,Gehyra_dubia,LC,17.45665174,
Gekkota,Gehyra_fehlmanni,UA,25.04275603,
Gekkota,Gehyra_koira,UA,15.90842326,
Gekkota,Gehyra_lacerata,UA,28.71343588,
Gekkota,Gehyra_lazelli,UA,25.73734705,
Gekkota,Gehyra_leopoldi,UA,16.24561665,
Gekkota,Gehyra_marginata,UA,16.50096255,
Gekkota,Gehyra_membranacruralis,UA,28.36571355,
Gekkota,Gehyra_moritzi,UA,16.44067417,
Gekkota,Gehyra_mutilata,UA,24.87767976,
Gekkota,Gehyra_oceanica,UA,17.79904728,
Gekkota,Gehyra_pamela,UA,17.19141216,
Gekkota,Gehyra_pilbara,LC,15.97018209,
Gekkota,Gehyra_pulingka,UA,15.91526594,
Gekkota,Gehyra_punctata,UA,18.27262118,
Gekkota,Gehyra_robusta,UA,17.7803019,
Gekkota,Gehyra_spheniscus,UA,23.05893425,
Gekkota,Gehyra_vorax,UA,28.15089943,
Gekkota,Gehyra_xenopus,UA,26.91096308,
Gekkota,Gekko_albofasciolatus,UA,17.95379637,
Gekkota,Gekko_athymus,NT,23.41905693,
Gekkota,Gekko_auriverrucosus,DD,21.71307472,
Gekkota,Gekko_badenii,DD,29.21258995,
Gekkota,Gekko_canhi,UA,18.9967786,
Gekkota,Gekko_chinensis,LC,16.58496163,
Gekkota,Gekko_ernstkelleri,VU,20.57319619,
Gekkota,Gekko_gecko,UA,17.60601207,
Gekkota,Gekko_grossmanni,DD,25.08079714,
Gekkota,Gekko_hokouensis,LC,21.29580719,
Gekkota,Gekko_japonicus,UA,25.85254564,
Gekkota,Gekko_lauhachindai,UA,18.56763641,
Gekkota,Gekko_melli,UA,16.42170896,
Gekkota,Gekko_nutaphandi,UA,17.27786691,
Gekkota,Gekko_palawanensis,LC,16.76927072,
Gekkota,Gekko_petricolus,UA,28.6519732,
Gekkota,Gekko_remotus,UA,17.02837677,
Gekkota,Gekko_russelltraini,UA,15.68474009,
Gekkota,Gekko_scabridus,DD,28.49806327,
Gekkota,Gekko_scientiadventura,UA,27.71843197,
Gekkota,Gekko_shibatai,UA,19.05259717,
Gekkota,Gekko_siamensis,UA,16.92074365,
Gekkota,Gekko_similignum,UA,17.21239969,
Gekkota,Gekko_smithii,LC,20.63497991,
Gekkota,Gekko_subpalmatus,UA,15.8621161,
Gekkota,Gekko_swinhonis,VU,19.58297798,
Gekkota,Gekko_taibaiensis,UA,17.42735501,
Gekkota,Gekko_takouensis,UA,19.93462081,
Gekkota,Gekko_truongi,UA,23.88330226,
Gekkota,Gekko_verreauxi,UA,17.1024058,
Gekkota,Gekko_vietnamensis,UA,16.93990881,
Gekkota,Gekko_vittatus,UA,22.42714721,
Gekkota,Gekko_wenxianensis,UA,17.87723256,
Gekkota,Gekko_yakuensis,UA,17.79139884,
Gekkota,Goggia_braacki,UA,18.76615998,
Gekkota,Goggia_essexi,LC,23.57286874,
Gekkota,Goggia_gemmula,DD,20.6590665,
Gekkota,Goggia_hewitti,UA,21.33596427,
Gekkota,Goggia_hexapora,LC,20.20977539,
Gekkota,Goggia_lineata,UA,17.43343527,
Gekkota,Goggia_microlepidota,NT,18.99358825,
Gekkota,Goggia_rupicola,UA,21.67516663,
Gekkota,Gonatodes_albogularis,UA,31.01288175,
Gekkota,Gonatodes_alexandermendesi,UA,18.27333687,
Gekkota,Gonatodes_annularis,UA,29.89955416,
Gekkota,Gonatodes_antillensis,UA,28.20383765,
Gekkota,Gonatodes_astralis,UA,25.81846221,
Gekkota,Gonatodes_atricucullaris,UA,21.68190993,
Gekkota,Gonatodes_caudiscutatus,LC,38.35773213,
Gekkota,Gonatodes_ceciliae,UA,19.09515277,
Gekkota,Gonatodes_concinnatus,UA,26.06161593,
Gekkota,Gonatodes_daudini,CR,40.78395312,
Gekkota,Gonatodes_eladioi,UA,30.32770094,
Gekkota,Gonatodes_faLConensis,UA,20.31013386,
Gekkota,Gonatodes_fuscus,UA,19.85531675,
Gekkota,Gonatodes_hasemani,LC,30.62779786,
Gekkota,Gonatodes_humeralis,UA,33.99144708,
Gekkota,Gonatodes_infernalis,UA,37.26056037,
Gekkota,Gonatodes_lichenosus,UA,18.74335669,
Gekkota,Gonatodes_ligiae,UA,18.89017428,
Gekkota,Gonatodes_nascimentoi,UA,23.2868324,
Gekkota,Gonatodes_naufragus,UA,22.4186578,
Gekkota,Gonatodes_ocellatus,UA,19.25500654,
Gekkota,Gonatodes_petersi,UA,21.81141067,
Gekkota,Gonatodes_purpurogularis,UA,23.80185295,
Gekkota,Gonatodes_riveroi,UA,20.72021671,
Gekkota,Gonatodes_rozei,UA,19.14199992,
Gekkota,Gonatodes_seigliei,DD,25.88653158,
Gekkota,Gonatodes_superciliaris,UA,18.33349369,
Gekkota,Gonatodes_taniae,UA,20.31013386,
Gekkota,Gonatodes_tapajonicus,UA,21.56823979,
Gekkota,Gonatodes_timidus,UA,22.813108,
Gekkota,Gonatodes_vittatus,UA,22.33383615,
Gekkota,Goniurosaurus_araneus,UA,19.78114706,
Gekkota,Goniurosaurus_bawanglingensis,UA,24.98143114,
Gekkota,Goniurosaurus_catbaensis,UA,22.11216301,
Gekkota,Goniurosaurus_hainanensis,UA,20.3454849,
Gekkota,Goniurosaurus_huuliensis,UA,23.46363384,
Gekkota,Goniurosaurus_kuroiwae,EN,43.7987541,
Gekkota,Goniurosaurus_liboensis,UA,17.10915332,
Gekkota,Goniurosaurus_lichtenfelderi,UA,20.01609496,
Gekkota,Goniurosaurus_luii,UA,17.14808403,
Gekkota,Goniurosaurus_orientalis,UA,24.37749017,
Gekkota,Goniurosaurus_splendens,UA,23.50013835,
Gekkota,Goniurosaurus_toyamai,UA,23.91151286,
Gekkota,Goniurosaurus_yamashinae,UA,22.88116276,
Gekkota,Goniurosaurus_yingdeensis,UA,23.68327082,
Gekkota,Goniurosaurus_zhelongi,UA,23.96585443,
Gekkota,Gymnodactylus_amarali,UA,27.67709742,
Gekkota,Gymnodactylus_darwinii,UA,31.07601574,
Gekkota,Gymnodactylus_geckoides,UA,27.95934663,
Gekkota,Gymnodactylus_guttulatus,UA,25.42527195,
Gekkota,Gymnodactylus_vanzolinii,UA,24.91888014,
Gekkota,Haemodracon_riebeckii,LC,35.35453469,
Gekkota,Haemodracon_trachyrhinus,LC,35.35453469,
Gekkota,Hemidactylus_aaronbaueri,LC,21.704312,
Gekkota,Hemidactylus_alkiyumii,UA,18.42727819,
Gekkota,Hemidactylus_anamallensis,NT,27.13936842,
Gekkota,Hemidactylus_angulatus,UA,26.37242926,
